"ID";"Bestedingscategorieen";"Perioden";"CPI_1";"CPIAfgeleid_2";"MaandmutatieCPI_3";"MaandmutatieCPIAfgeleid_4";"JaarmutatieCPI_5";"JaarmutatieCPIAfgeleid_6";"Wegingscoefficient_7"
"44";"T001112  ";"1999MM06";"73.14";"77";"-0.4";"-0.4";"2.3";"1.8";"100000"
"45";"T001112  ";"1999MM07";"73.06";"76.92";"-0.1";"-0.1";"2";"1.5";"100000"
"46";"T001112  ";"1999MM08";"73.46";"77.34";"0.5";"0.5";"2.5";"2";"100000"
"47";"T001112  ";"1999MM09";"73.8";"77.68";"0.5";"0.4";"2.1";"1.6";"100000"
"48";"T001112  ";"1999MM10";"73.86";"77.74";"0.1";"0.1";"2";"1.4";"100000"
"49";"T001112  ";"1999MM11";"73.95";"77.84";"0.1";"0.1";"2.1";"1.6";"100000"
"50";"T001112  ";"1999MM12";"73.7";"77.58";"-0.3";"-0.3";"2.1";"1.6";"100000"
"52";"T001112  ";"2000MM01";"73.55";"77.17";"-0.2";"-0.5";"1.8";"1.5";"100000"
"53";"T001112  ";"2000MM02";"74";"77.64";"0.6";"0.6";"1.9";"1.6";"100000"
"54";"T001112  ";"2000MM03";"74.66";"78.33";"0.9";"0.9";"1.9";"1.6";"100000"
"55";"T001112  ";"2000MM04";"74.78";"78.46";"0.2";"0.2";"1.9";"1.5";"100000"
"56";"T001112  ";"2000MM05";"75.02";"78.69";"0.3";"0.3";"2.2";"1.8";"100000"
"57";"T001112  ";"2000MM06";"74.94";"78.62";"-0.1";"-0.1";"2.5";"2.1";"100000"
"58";"T001112  ";"2000MM07";"74.75";"78.41";"-0.3";"-0.3";"2.3";"1.9";"100000"
"59";"T001112  ";"2000MM08";"75.08";"78.75";"0.4";"0.4";"2.2";"1.8";"100000"
"60";"T001112  ";"2000MM09";"75.99";"79.7";"1.2";"1.2";"3";"2.6";"100000"
"61";"T001112  ";"2000MM10";"76.12";"79.84";"0.2";"0.2";"3.1";"2.7";"100000"
"62";"T001112  ";"2000MM11";"76.11";"79.83";"0";"0";"2.9";"2.6";"100000"
"63";"T001112  ";"2000MM12";"75.66";"79.36";"-0.6";"-0.6";"2.7";"2.3";"100000"
"65";"T001112  ";"2001MM01";"76.31";"79.25";"0.9";"-0.1";"3.8";"2.7";"100000"
"66";"T001112  ";"2001MM02";"76.98";"79.91";"0.9";"0.8";"4";"2.9";"100000"
"67";"T001112  ";"2001MM03";"77.7";"80.67";"0.9";"1";"4.1";"3";"100000"
"68";"T001112  ";"2001MM04";"78.13";"81.12";"0.6";"0.6";"4.5";"3.4";"100000"
"69";"T001112  ";"2001MM05";"78.39";"81.39";"0.3";"0.3";"4.5";"3.4";"100000"
"70";"T001112  ";"2001MM06";"78.09";"81.07";"-0.4";"-0.4";"4.2";"3.1";"100000"
"71";"T001112  ";"2001MM07";"77.98";"80.99";"-0.1";"-0.1";"4.3";"3.3";"100000"
"72";"T001112  ";"2001MM08";"78.27";"81.28";"0.4";"0.4";"4.2";"3.2";"100000"
"73";"T001112  ";"2001MM09";"79.23";"82.27";"1.2";"1.2";"4.3";"3.2";"100000"
